"--Select--","--Vali--"
"Add New Option","Add New Option"
"Add Selection","Add Selection"
"As low as","Hinnad alates"
"Bundle Items","Komplekti tooted"
"Bundle Product","Bundle Product"
"Buy %1$s with %2$s discount each","Buy %1$s with %2$s discount each"
"Checkbox","Checkbox"
"Choose a selection...","Choose a selection..."
"Close","Sulge"
"Default","Default"
"Default Qty","Vaikekogus"
"Default Title","Default Title"
"Drop-down","Rippvalik"
"Dynamic","D체naamiline"
"Excl. Tax","Maksuta"
"Fixed","Fikseeritud"
"From","Alates"
"From:","Alates:"
"Gift Message","Kingis천num"
"Incl. Tax","Incl. Tax"
"Input Type","Sisendi t체체p"
"Is Required","Is Required"
"Message:","Message:"
"Multiple Select","Multiple Select"
"N/A","-"
"No options of this product are available.","No options of this product are available."
"None","None"
"Percent","Protsent"
"Percent Discount","Allahindluse %"
"Please enter search conditions to view products.","Please enter search conditions to view products."
"Please select options for product.","Please select options for product."
"Please select products to add","Please select products to add"
"Please specify product option(s)","Please specify product option(s)"
"Position","Position"
"Price Range","Hinnavahemik"
"Price Type","Price Type"
"Price as configured","Konfigureeritud toote hind"
"Qty:","Kogus:"
"Radio Buttons","Radio Buttons"
"Required options not selected.","Required options not selected."
"Selected required options not available.","Selected required options not available."
"Separately","Separately"
"Ship Bundle Items","Ship Bundle Items"
"Shipment","Saadetis"
"Store View Title","Store View Title"
"There is no defined renderer for ""%s"" option type","There is no defined renderer for ""%s"" option type"
"This product is also part of bundle(s)","This product is also part of bundle(s)"
"To","Kuni"
"To:","Kuni:"
"Together","Together"
"User Defined Qty","User Defined Qty"
