"Add New Row","Lisa uus rida"
"An error occurred while saving the file(s).","An error occurred while saving the file(s)."
"Availability: In stock.","Saadavus: Laos"
"Availability: Out of stock.","Saadavus: Laost otsas"
"Back","Tagasi"
"Can't connect to remote host, error: %s","Can't connect to remote host, error: %s"
"Canceled","Canceled"
"Date","Kuup채ev"
"Default Link Title","Default Link Title"
"Default Maximum Number of Downloads","Default Maximum Number of Downloads"
"Default Sample Title","Default Sample Title"
"Disable Guest Checkout if cart contains downloadable items","Disable Guest Checkout if cart contains downloadable items"
"Downloadable Information","Allalaetav info"
"Downloadable Product","Downloadable Product"
"Downloadable Product Options","Downloadable Product Options"
"Downloadable product Section","Downloadable product Section"
"Excl. Tax","Maksuta"
"File","Fail"
"File does not exists","File does not exists"
"From:","Kellelt:"
"Gift Message","Gift Message"
"Go to <a href=""%s"">My Downloadable Products</a>","Mine <a href=""%s"">Minu allalaetud tooted</a>"
"Guest checkout will only work with shareable","Guest checkout will only work with shareable"
"Incl. Tax","Incl. Tax"
"Invalid download URL host","Invalid download URL host"
"Invalid download URL scheme","Invalid download URL scheme"
"Invalid download link type","Invalid download link type"
"Invoiced","Invoiced"
"Link has expired.","Link has expired."
"Link is not available.","Link is not available."
"Links can be purchased separately","Links can be purchased separately"
"Max. Downloads","Max. Downloads"
"Message:","Kiri:"
"My Downloadable Products","Minu allalaadimised"
"Open Links in New Window","Open Links in New Window"
"Order #","Tellimus nr"
"Order Item Status to enable Downloads","Order Item Status to enable Downloads"
"Ordered","Ordered"
"Pending","Ootel"
"Please log in to download your product.","Allalaadimiseks sisenega"
"Please set resource file and link type","Please set resource file and link type"
"Please specify product link(s).","Please specify product link(s)."
"Price","Hind"
"Refunded","Raha tagastatud"
"Remaining Downloads","Remaining Downloads"
"Remove item","Remove item"
"Requested link doesn't exist.","Requested link doesn't exist."
"Sample","N채idis"
"Shareable","Shareable"
"Shipped","Shipped"
"Sorry, the was an error getting requested content. Please contact store owner.","Sorry, the was an error getting requested content. Please contact store owner."
"Sorry, there was an error getting requested content","Sorry, there was an error getting requested content"
"Sorry, there was an error getting requested content. Please contact store owner.","Sorry, there was an error getting requested content. Please contact store owner."
"Sort Order","Sort Order"
"Start Download","Start Download"
"Status","Staatus"
"Title","Title"
"To:","To:"
"U","U"
"Unlimited","Piiramatult"
"View Order","Vaata tellimust"
"You have not purchased any downloadable products yet.","Te ei ole veel 체htegi allalaetavat toodet ostnud."
"attachment","attachment"
"download","download"
"inline","inline"
"sample","n채idis"
"My Downloadable Products","Minu allalaadimised"
"You have not purchased any downloadable products yet.","You have not purchased any downloadable products yet."
